;created_at;favorite_count;id_str;is_retweet;retweet_count;source;text;sentiment
1627;Wed Aug 05 16:46:11 +0000 2015;1623.0;628970265125371904;0.0;909.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""How can we in good conscience justify war before we have tested a diplomatic agreement that achieves our objectives?"" —President Obama";0.296
1628;Wed Aug 05 16:44:47 +0000 2015;921.0;628969912879321088;0.0;458.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";“The choice we face is ultimately between diplomacy or some sort of war.” —President Obama #IranDeal;0.0
1629;Wed Aug 05 16:42:51 +0000 2015;870.0;628969424855302148;0.0;340.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";“Walk away from this agreement and you will get a better deal—for Iran.” —President Obama #IranDeal;0.7684
1630;Wed Aug 05 16:41:37 +0000 2015;945.0;628969117295378432;0.0;459.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";“Those who say we can walk away from this deal and maintain sanctions are selling a fantasy.” —President Obama #IranDeal;0.0
1631;Wed Aug 05 16:40:38 +0000 2015;785.0;628968867461595136;0.0;364.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""We will continue to have sanctions in place on Iran's support for terrorism and violation of human rights.""—President Obama #IranDeal";-0.7269
1632;Wed Aug 05 16:39:30 +0000 2015;712.0;628968584174153729;0.0;296.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";“There is no scenario where sanctions relief turns Iran into the region's dominate power.” —President Obama #IranDeal;0.1027
1633;Wed Aug 05 16:38:19 +0000 2015;779.0;628968283492880384;0.0;378.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";“An argument against sanctions relief is effectively an argument against any diplomatic solution.” —President Obama #IranDeal;0.25
1634;Wed Aug 05 16:37:05 +0000 2015;824.0;628967974863396864;0.0;398.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""Without this deal, the scenarios that critics warn about happening in 15 years could happen six months from now."" —President Obama";-0.3818
1635;Wed Aug 05 16:35:47 +0000 2015;893.0;628967646831116288;0.0;407.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""The bottom line is, if Iran cheats, we can catch them—and we will."" —President Obama #IranDeal";-0.4215
1636;Wed Aug 05 16:34:19 +0000 2015;812.0;628967276759244800;0.0;336.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";“This deal is not just the best choice among alternatives—this is the strongest non-proliferation agreement ever.” —President Obama;0.4082
1637;Wed Aug 05 16:32:42 +0000 2015;817.0;628966871753060353;0.0;383.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";“If Iran violates the agreement over the next decade all of the sanctions can snap back in to place.” —President Obama #IranDeal;-0.0258
1638;Wed Aug 05 16:30:59 +0000 2015;704.0;628966441530732544;0.0;240.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""Iran has powerful incentives to keep its commitments."" —President Obama #IranDeal";0.6249
1639;Wed Aug 05 16:29:52 +0000 2015;596.0;628966157706354688;0.0;234.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""This deal shuts off the type of covert program Iran has pursued in the past.” —President Obama #IranDeal";0.0
